地区,第一产业,第二产业,第三产业
北京,86.56,786.85,1137.9
天津,74.03,660,602.35
河北,790.6,2084.33,1381.08
山西,207.26,856.13,537.72
内蒙古,341.62,479.53,371.14
辽宁,531.46,1855.22,1495.05
吉林,429.5,597.29,530.99
黑龙江,463.05,1506.76,863.03
上海,78.5,1847.2,1762.5
江苏,1016.27,3640.1,2543.58
浙江,631.31,2709.08,1647.11
安徽,739.7,1253.53,812.22
福建,610.04,1444.73,1275.41
江西,450.44,740.33,661.21
山东,1215.81,3457.03,2489.36
河南,1071.39,2012.74,1272.47
湖北,748.22,1752.91,1203.08
湖南,828.31,1294.17,1088.92
广东,1004.92,3991.97,2922.23
广西,574.25,678.19,650.6
海南,164,90.63,184.29
重庆,298.67,585.38,545.21
四川,941.24,1527.07,1111.95
贵州,264.89,326.03,250.96
云南,408.43,828.37,557.1
西藏,31.31,20.24,39.63
陕西,283.49,567.66,530.38
甘肃,202.21,382,285.54
青海,41.63,88.42,90.11
宁夏,48.69,94.01,84.76
新疆,291.05,430.73,394.89
